Latitude (decimal degrees):	X.XXX
Longitude (decimal degrees): Y.YYY
Elevation (m): ZZZ
Radiation database:	PVGIS-SARAH


Slope: 14 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	9.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20140101:0010,0.0,0.0,0.0,6.97,2.26,0.0
20140101:0110,0.0,0.0,0.0,6.2,2.43,0.0
20140101:0210,0.0,0.0,0.0,5.42,2.59,0.0
20140101:0310,0.0,0.0,0.0,4.64,2.76,0.0
20140101:0410,0.0,0.0,0.0,4.53,3.25,0.0
20140101:0510,0.0,0.0,0.0,4.43,3.73,0.0
20140101:0610,0.0,0.0,0.0,4.32,4.22,0.0
20140101:0710,0.0,0.0,0.0,5.06,4.74,0.0
20140101:0810,442.17,79.12,5.5,5.79,5.26,0.0
20140101:0910,2120.76,288.26,13.17,6.53,5.78,0.0
20140101:1010,3194.82,418.45,19.02,8.41,6.01,0.0
20140101:1110,4070.16,530.99,22.54,10.28,6.25,0.0
20140101:1210,3796.92,499.39,23.35,12.15,6.48,0.0
20140101:1310,2043.99,277.51,21.35,12.2,6.53,0.0
20140101:1410,956.88,141.05,16.77,12.24,6.57,0.0
20140101:1510,97.38,24.7,10.08,12.29,6.62,0.0
20140101:1610,0.0,0.0,0.0,11.63,6.69,0.0
20140101:1710,0.0,0.0,0.0,10.98,6.77,0.0
20140101:1810,0.0,0.0,0.0,10.33,6.84,0.0
20140101:1910,0.0,0.0,0.0,10.1,7.12,0.0
20140101:2010,0.0,0.0,0.0,9.88,7.39,0.0
20140101:2110,0.0,0.0,0.0,9.66,7.67,0.0
20140101:2210,0.0,0.0,0.0,9.62,7.56,0.0
20140101:2310,0.0,0.0,0.0,9.59,7.46,0.0
20140102:0010,0.0,0.0,0.0,9.55,7.35,0.0
20140102:0110,0.0,0.0,0.0,9.6,6.64,0.0
20140102:0210,0.0,0.0,0.0,9.64,5.94,0.0
20140102:0310,0.0,0.0,0.0,9.68,5.23,0.0
20140102:0410,0.0,0.0,0.0,9.57,3.82,0.0
20140102:0510,0.0,0.0,0.0,9.47,2.41,0.0
20140102:0610,0.0,0.0,0.0,9.36,1.01,0.0
20140102:0710,0.0,0.0,0.0,9.27,1.36,0.0
20140102:0810,257.94,50.84,5.5,9.19,1.71,0.0
20140102:0910,117.72,27.66,13.19,9.1,2.07,0.0
20140102:1010,954.54,140.13,19.06,10.14,2.15,0.0
20140102:1110,2259.72,306.72,22.61,11.18,2.23,0.0
20140102:1210,2960.46,398.81,23.44,12.21,2.32,0.0
20140102:1310,2954.16,399.41,21.46,12.65,2.34,0.0
20140102:1410,2153.79,298.04,16.89,13.09,2.36,0.0
20140102:1510,1107.09,167.69,10.21,13.53,2.39,0.0
20140102:1610,0.0,0.0,0.0,12.34,2.59,0.0
20140102:1710,0.0,0.0,0.0,11.16,2.8,0.0
20140102:1810,0.0,0.0,0.0,9.98,3.01,0.0
20140102:1910,0.0,0.0,0.0,9.95,4.0,0.0
20140102:2010,0.0,0.0,0.0,9.92,5.0,0.0
20140102:2110,0.0,0.0,0.0,9.9,6.0,0.0
20140102:2210,0.0,0.0,0.0,9.98,5.94,0.0
20140102:2310,0.0,0.0,0.0,10.06,5.87,0.0
20140103:0010,0.0,0.0,0.0,10.14,5.81,0.0
20140103:0110,0.0,0.0,0.0,10.31,5.91,0.0
20140103:0210,0.0,0.0,0.0,10.48,6.01,0.0
20140103:0310,0.0,0.0,0.0,10.64,6.11,0.0
20140103:0410,0.0,0.0,0.0,10.5,5.79,0.0
20140103:0510,0.0,0.0,0.0,10.36,5.47,0.0
20140103:0610,0.0,0.0,0.0,10.22,5.14,0.0
20140103:0710,0.0,0.0,0.0,10.47,4.08,0.0
20140103:0810,271.89,53.48,5.52,10.71,3.02,0.0
20140103:0910,1157.85,168.7,13.22,10.96,1.96,0.0
20140103:1010,517.59,83.98,19.12,11.18,2.01,0.0
20140103:1110,1101.24,159.68,22.69,11.39,2.07,0.0
20140103:1210,1057.41,154.23,23.54,11.6,2.12,0.0
